bib,age,5k_minutes,10k_minutes,15k_minutes,20k_minutes,Half_minutes,25k_minutes,30k_minutes,35k_minutes,40k_minutes,gender_F,gender_M,finish_minutes
917,34.0,19.83,39.93,,,,,,,,0,1,191.42
5320,35.0,20.27,40.63,,,,,,,,0,1,191.43
3669,35.0,20.55,41.07,,,,,,,,0,1,191.48
12588,25.0,21.37,42.97,,,,,,,,1,0,191.58
10662,29.0,24.35,48.6,,,,,,,,1,0,191.63
5032,36.0,21.65,42.93,,,,,,,,0,1,191.77
9595,34.0,23.32,46.18,,,,,,,,1,0,191.82
14181,28.0,23.37,46.1,,,,,,,,1,0,191.83
5554,29.0,21.8,44.37,,,,,,,,0,1,191.98
13276,25.0,22.98,45.42,,,,,,,,1,0,192.1
8201,25.0,21.07,41.48,,,,,,,,1,0,192.15
10153,39.0,22.47,44.78,,,,,,,,1,0,192.32
11217,29.0,22.63,44.92,,,,,,,,1,0,192.53
8746,36.0,23.32,46.35,,,,,,,,0,1,192.68
5477,33.0,21.52,42.98,,,,,,,,0,1,192.72
12495,34.0,22.9,45.32,,,,,,,,1,0,192.82
12718,36.0,23.02,45.3,,,,,,,,1,0,192.82
2708,36.0,21.87,43.83,,,,,,,,0,1,192.87
11912,27.0,22.58,44.5,,,,,,,,1,0,192.93
8363,37.0,21.13,42.33,,,,,,,,0,1,192.95
4648,34.0,21.33,42.38,,,,,,,,0,1,193.13
14529,30.0,23.68,46.73,,,,,,,,1,0,193.6
4982,31.0,22.47,44.85,,,,,,,,1,0,193.72
632,31.0,21.88,44.55,,,,,,,,0,1,193.73
2696,29.0,21.88,44.55,,,,,,,,0,1,193.73
4266,35.0,21.78,43.7,,,,,,,,0,1,193.8
14235,33.0,22.63,44.65,,,,,,,,1,0,194.03
12302,36.0,23.35,46.23,,,,,,,,1,0,194.42
5783,33.0,21.5,42.68,,,,,,,,0,1,194.52
25773,23.0,22.68,44.17,,,,,,,,0,1,194.63
18012,32.0,23.4,45.88,,,,,,,,1,0,194.85
11107,29.0,23.12,45.98,,,,,,,,1,0,194.88
13587,27.0,23.78,47.38,,,,,,,,1,0,195.12
13931,28.0,23.48,46.37,,,,,,,,1,0,195.18
6619,38.0,21.95,44.02,,,,,,,,0,1,195.2
13529,25.0,23.3,46.33,,,,,,,,1,0,195.28
643,27.0,20.22,41.75,,,,,,,,0,1,195.28
11796,32.0,23.13,46.12,,,,,,,,1,0,195.32
11509,27.0,23.32,46.32,,,,,,,,1,0,195.87
10657,27.0,22.53,44.4,,,,,,,,1,0,195.97
15079,32.0,23.27,46.7,,,,,,,,1,0,195.98
26716,25.0,22.52,44.5,,,,,,,,0,1,196.13
14097,26.0,23.18,46.5,,,,,,,,1,0,196.17
12576,35.0,22.72,45.55,,,,,,,,1,0,196.2
10136,36.0,23.2,46.3,,,,,,,,1,0,196.22
16431,33.0,24.17,46.6,,,,,,,,1,0,196.23
16175,28.0,23.02,45.65,,,,,,,,1,0,196.28
14542,25.0,21.98,45.02,,,,,,,,1,0,196.35
17846,38.0,23.55,46.33,,,,,,,,1,0,196.47
4631,26.0,23.22,46.38,,,,,,,,0,1,196.53
12423,33.0,23.65,46.8,,,,,,,,1,0,196.8
16384,27.0,23.92,46.78,,,,,,,,1,0,196.95
9045,37.0,22.83,46.0,,,,,,,,1,0,197.07
14224,24.0,23.05,45.7,,,,,,,,1,0,197.08
12527,32.0,22.92,44.85,,,,,,,,1,0,197.15
11139,26.0,22.8,44.88,,,,,,,,1,0,197.37
17970,31.0,23.8,47.28,,,,,,,,1,0,197.37
16406,30.0,23.43,46.98,,,,,,,,1,0,197.45
13128,35.0,23.47,46.53,,,,,,,,1,0,197.45
11712,23.0,23.3,46.45,,,,,,,,1,0,197.48
4954,27.0,21.95,43.88,,,,,,,,0,1,197.5
11325,33.0,23.43,46.2,,,,,,,,1,0,197.97
16464,28.0,23.48,46.9,,,,,,,,1,0,197.98
15014,34.0,22.68,45.72,,,,,,,,1,0,198.23
12280,23.0,23.15,45.45,,,,,,,,1,0,198.43
10293,28.0,23.13,45.83,,,,,,,,1,0,198.52
31154,37.0,27.2,50.67,,,,,,,,0,1,198.57
31053,27.0,26.07,49.28,,,,,,,,0,1,199.03
12628,25.0,23.3,46.63,,,,,,,,1,0,199.23
17905,23.0,24.05,47.48,,,,,,,,1,0,199.23
13964,29.0,23.38,46.88,,,,,,,,1,0,199.33
14514,28.0,23.83,47.58,,,,,,,,1,0,199.43
12903,36.0,24.38,48.23,,,,,,,,1,0,199.48
7110,35.0,20.7,42.07,,,,,,,,0,1,199.62
4686,39.0,22.37,44.83,,,,,,,,0,1,199.63
11000,28.0,22.73,45.8,,,,,,,,1,0,199.83
3899,27.0,24.35,48.6,,,,,,,,1,0,199.92
6410,39.0,21.45,42.9,,,,,,,,0,1,200.15
5891,21.0,21.92,44.1,,,,,,,,0,1,200.18
16227,29.0,22.88,46.1,,,,,,,,1,0,200.18
16317,31.0,22.0,45.0,,,,,,,,1,0,200.37
2509,39.0,21.4,42.25,,,,,,,,0,1,200.43
2873,30.0,23.68,46.83,,,,,,,,0,1,200.45
3186,35.0,22.72,45.75,,,,,,,,0,1,200.67
14721,36.0,24.02,47.52,,,,,,,,1,0,200.67
10890,29.0,23.98,47.57,,,,,,,,1,0,200.77
7715,38.0,22.27,45.22,,,,,,,,1,0,200.9
8008,33.0,22.22,44.05,,,,,,,,1,0,200.9
14038,39.0,23.62,47.07,,,,,,,,1,0,200.98
16366,32.0,23.02,45.67,,,,,,,,1,0,200.98
5226,24.0,23.75,48.02,,,,,,,,0,1,201.05
13537,28.0,23.23,45.82,,,,,,,,1,0,201.15
2713,25.0,22.78,45.78,,,,,,,,0,1,201.33
17079,32.0,24.58,47.78,,,,,,,,1,0,201.42
16361,34.0,23.68,46.8,,,,,,,,1,0,201.73
15663,27.0,24.03,47.6,,,,,,,,1,0,201.98
16070,28.0,23.37,46.87,,,,,,,,1,0,202.0
10344,30.0,21.6,43.1,,,,,,,,1,0,202.22
18753,38.0,23.67,47.2,,,,,,,,1,0,202.38
2737,30.0,21.7,43.78,,,,,,,,0,1,202.53
17550,28.0,24.83,48.23,,,,,,,,1,0,202.67
14659,31.0,23.93,48.55,,,,,,,,1,0,203.0
11897,30.0,24.6,48.55,,,,,,,,1,0,203.1
17969,37.0,24.73,49.17,,,,,,,,1,0,203.15
8535,39.0,21.98,43.4,,,,,,,,0,1,203.2
