bib,age,20k_minutes,avg_pace_to_20k,perc_decay_15k_to_20k,finish_minutes
15710,51,106.58,11.26,-0.64,225.83
27408,52,103.58,11.59,0.17,225.85
31506,30,106.95,11.22,0.08,225.85
6142,41,91.9,13.06,-2.21,225.85
19284,45,102.33,11.73,-1.2,225.88
7517,39,109.78,10.93,-0.08,225.88
31652,38,104.25,11.51,0.25,225.88
19213,38,104.55,11.48,0.24,225.88
22641,50,107.47,11.17,-0.41,225.88
10868,52,95.72,12.54,-1.87,225.9
21716,46,102.2,11.74,-0.52,225.9
32037,29,98.08,12.23,-0.33,225.9
20808,47,104.18,11.52,-0.21,225.92
17744,37,96.3,12.46,-0.55,225.93
20724,63,100.53,11.94,-0.17,225.93
21393,50,105.03,11.43,0.14,225.93
27596,53,102.98,11.65,-0.73,225.93
22915,60,103.55,11.59,0.02,225.93
21162,50,103.45,11.6,0.21,225.93
31541,40,100.47,11.94,-1.24,225.93
21157,60,103.28,11.62,-0.49,225.93
22723,67,105.85,11.34,-0.27,225.93
20177,47,105.78,11.34,-0.33,225.95
19517,40,104.45,11.49,-0.33,225.95
20684,66,107.32,11.18,0.26,225.95
15596,60,101.42,11.83,-0.09,225.97
23062,65,103.27,11.62,0.02,225.97
16297,34,104.75,11.46,-0.91,225.97
19436,46,101.78,11.79,-1.79,225.98
30799,53,108.0,11.11,0.65,225.98
22307,46,101.43,11.83,-0.49,225.98
21494,61,104.48,11.49,-0.08,225.98
17864,32,94.32,12.72,-0.37,226.0
21072,46,104.55,11.48,-0.5,226.0
19935,44,103.83,11.56,-0.45,226.0
18813,61,99.62,12.05,-0.29,226.02
15757,49,106.22,11.3,0.27,226.02
26161,22,111.83,10.73,0.49,226.02
11507,48,98.85,12.14,-1.44,226.02
20599,45,103.82,11.56,-0.28,226.02
15544,54,102.75,11.68,-0.69,226.03
30310,40,103.68,11.57,-0.76,226.03
16190,58,100.53,11.94,-0.5,226.03
16083,36,96.55,12.43,-0.5,226.03
18156,57,101.55,11.82,-0.15,226.03
21844,47,104.3,11.51,-0.16,226.03
20861,48,102.85,11.67,-0.53,226.05
15407,45,106.58,11.26,-0.63,226.05
27629,57,102.98,11.65,-0.73,226.05
3051,45,104.97,11.43,-0.58,226.05
16936,31,100.82,11.9,-1.5,226.05
17002,39,101.17,11.86,-2.96,226.05
18834,36,106.68,11.25,-0.29,226.05
19035,39,105.13,11.41,-1.07,226.07
31731,40,100.48,11.94,-2.84,226.07
19199,38,106.32,11.29,0.05,226.07
12585,41,97.58,12.3,-0.39,226.07
18656,39,101.43,11.83,-1.96,226.07
19156,48,103.57,11.59,-0.51,226.08
18095,23,102.47,11.71,-0.55,226.08
13795,41,100.37,11.96,-1.33,226.08
29819,36,103.43,11.6,-0.44,226.1
21848,55,105.52,11.37,-0.68,226.1
13732,40,94.75,12.66,-0.16,226.1
21377,62,103.47,11.6,0.09,226.12
31232,45,107.78,11.13,1.22,226.12
20116,43,101.77,11.79,0.49,226.13
22634,62,103.0,11.65,0.13,226.13
20340,40,98.1,12.23,0.01,226.13
22572,48,106.68,11.25,0.09,226.13
16563,65,101.67,11.8,-0.7,226.15
20750,49,101.35,11.84,-0.19,226.15
22584,55,105.78,11.34,-0.64,226.15
31219,34,103.05,11.64,-0.01,226.15
17263,23,104.27,11.51,-0.62,226.15
6538,50,97.0,12.37,-0.14,226.15
20088,55,101.45,11.83,-1.43,226.17
21572,49,103.07,11.64,-1.79,226.17
22467,69,108.15,11.1,-0.11,226.17
20500,62,104.9,11.44,-1.58,226.17
